"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2659","get started link","webkit","Wed Jan 01 03:47:57 PKT 2025","passed","Wed Jan 01 03:48:00 PKT 2025","","example.spec.js","",""
"","12235","Sync. Case 2","webkit","Wed Jan 01 03:48:18 PKT 2025","passed","Wed Jan 01 03:48:30 PKT 2025","My test suite","HRM.spec.js","",""
"","19685","Sync. Case 1","firefox","Wed Jan 01 03:47:33 PKT 2025","passed","Wed Jan 01 03:47:53 PKT 2025","My test suite","HRM.spec.js","",""
"","2263","has title","webkit","Wed Jan 01 03:47:55 PKT 2025","passed","Wed Jan 01 03:47:57 PKT 2025","","example.spec.js","",""
"","60256","sign up","webkit","Wed Jan 01 03:47:47 PKT 2025","broken","Wed Jan 01 03:48:48 PKT 2025","","assignment1.spec.js","",""
"","60101","sign up","chromium","Wed Jan 01 03:47:17 PKT 2025","broken","Wed Jan 01 03:48:17 PKT 2025","","assignment1.spec.js","",""
"","7560","Sync. Case 2","chromium","Wed Jan 01 03:47:19 PKT 2025","passed","Wed Jan 01 03:47:27 PKT 2025","My test suite","HRM.spec.js","",""
"","17720","Sync. Case 1","webkit","Wed Jan 01 03:48:00 PKT 2025","passed","Wed Jan 01 03:48:17 PKT 2025","My test suite","HRM.spec.js","",""
"","2583","get started link","chromium","Wed Jan 01 03:47:17 PKT 2025","passed","Wed Jan 01 03:47:19 PKT 2025","","example.spec.js","",""
"","9475","Sync. Case 2","firefox","Wed Jan 01 03:47:36 PKT 2025","passed","Wed Jan 01 03:47:45 PKT 2025","My test suite","HRM.spec.js","",""
"","60267","sign up","firefox","Wed Jan 01 03:47:21 PKT 2025","broken","Wed Jan 01 03:48:21 PKT 2025","","assignment1.spec.js","",""
"","17636","Sync. Case 1","chromium","Wed Jan 01 03:47:17 PKT 2025","passed","Wed Jan 01 03:47:34 PKT 2025","My test suite","HRM.spec.js","",""
"","2368","has title","chromium","Wed Jan 01 03:47:17 PKT 2025","passed","Wed Jan 01 03:47:19 PKT 2025","","example.spec.js","",""
"","1949","get started link","firefox","Wed Jan 01 03:47:31 PKT 2025","passed","Wed Jan 01 03:47:33 PKT 2025","","example.spec.js","",""
"","2492","has title","firefox","Wed Jan 01 03:47:28 PKT 2025","passed","Wed Jan 01 03:47:30 PKT 2025","","example.spec.js","",""
